"Metric name","Metric type","Metric unit","Metric description","NVIDIA GeForce RTX 3060 Laptop GPU"
"idc__requests","Counter","","# of IDC requests","1"
"idc__requests_lookup_hit","Counter","","# of IDC requests that hit","1"
"idc__requests_lookup_miss","Counter","","# of IDC requests that missed","1"
"idc__requests_lookup_miss_tag_hit","Counter","","# of IDC requests that missed and were covered by a pending miss","1"
"idc__requests_lookup_miss_tag_miss","Counter","","# of IDC requests that missed and were sent to GCC","1"
"idc__requests_lookup_miss_tag_unavailable","Counter","","# of IDC requests that missed and were unserved due to lack of resources","1"
"l1tex__average_t_sectors_per_request","Ratio","sector","average # of sectors requested per request sent to T stage","1"
"l1tex__average_t_sectors_per_request_pipe_lsu","Ratio","sector","average # of sectors requested per request sent to T stage for LSU pipe local/global","1"
"l1tex__average_t_sectors_per_request_pipe_lsu_mem_global_op_atom","Ratio","sector","average # of sectors requested per request sent to T stage for global atomics","1"
"l1tex__average_t_sectors_per_request_pipe_lsu_mem_global_op_ld","Ratio","sector","average # of sectors requested per request sent to T stage for global loads","1"
"l1tex__average_t_sectors_per_request_pipe_lsu_mem_global_op_red","Ratio","sector","average # of sectors requested per request sent to T stage for global reductions","1"
"l1tex__average_t_sectors_per_request_pipe_lsu_mem_global_op_st","Ratio","sector","average # of sectors requested per request sent to T stage for global stores","1"
"l1tex__average_t_sectors_per_request_pipe_lsu_mem_local_op_ld","Ratio","sector","average # of sectors requested per request sent to T stage for local loads","1"
"l1tex__average_t_sectors_per_request_pipe_lsu_mem_local_op_st","Ratio","sector","average # of sectors requested per request sent to T stage for local stores","1"
"l1tex__average_t_sectors_per_request_pipe_tex","Ratio","sector","average # of sectors requested per request sent to T stage for TEX pipe","1"
"l1tex__average_t_sectors_per_request_pipe_tex_mem_surface","Ratio","sector","average # of sectors requested per request sent to T stage for surface","1"
"l1tex__average_t_sectors_per_request_pipe_tex_mem_surface_op_atom","Ratio","sector","average # of sectors requested per request sent to T stage for surface atomics","1"
"l1tex__average_t_sectors_per_request_pipe_tex_mem_surface_op_ld","Ratio","sector","average # of sectors requested per request sent to T stage for surface loads","1"
"l1tex__average_t_sectors_per_request_pipe_tex_mem_surface_op_red","Ratio","sector","average # of sectors requested per request sent to T stage for surface reductions","1"
"l1tex__average_t_sectors_per_request_pipe_tex_mem_surface_op_st","Ratio","sector","average # of sectors requested per request sent to T stage for surface stores","1"
"l1tex__average_t_sectors_per_request_pipe_tex_mem_texture","Ratio","sector","average # of sectors requested per request sent to T stage for texture","1"
"l1tex__average_t_sectors_per_request_pipe_tex_mem_texture_op_ld","Ratio","sector","average # of sectors requested per request sent to T stage for TLD instructions","1"
"l1tex__average_t_sectors_per_request_pipe_tex_mem_texture_op_tex","Ratio","sector","average # of sectors requested per request sent to T stage for TEX instructions","1"
"l1tex__cycles_active","Counter","cycle","# of cycles where L1TEX was active","1"
"l1tex__cycles_elapsed","Counter","cycle","# of cycles elapsed on L1TEX","1"
"l1tex__cycles_in_frame","Counter","cycle","# of cycles in user-defined frame","1"
"l1tex__cycles_in_region","Counter","cycle","# of cycles in user-defined region","1"
"l1tex__data_bank_conflicts_pipe_lsu","Counter","","# of data bank conflicts generated by LSU pipe","1"
"l1tex__data_bank_conflicts_pipe_lsu_cmd_read","Counter","","# of data bank conflicts generated by LSU reads","1"
"l1tex__data_bank_conflicts_pipe_lsu_cmd_write","Counter","","# of data bank conflicts generated by LSU writes","1"
"l1tex__data_bank_conflicts_pipe_lsu_mem_global","Counter","","# of data bank conflicts generated by global ops","1"
"l1tex__data_bank_conflicts_pipe_lsu_mem_global_op_atom","Counter","","# of data bank conflicts generated by global atomics","1"
"l1tex__data_bank_conflicts_pipe_lsu_mem_global_op_ld","Counter","","# of data bank conflicts generated by global loads","1"
"l1tex__data_bank_conflicts_pipe_lsu_mem_global_op_red","Counter","","# of data bank conflicts generated by global reductions","1"
"l1tex__data_bank_conflicts_pipe_lsu_mem_global_op_st","Counter","","# of data bank conflicts generated by global stores","1"
"l1tex__data_bank_conflicts_pipe_lsu_mem_shared","Counter","","# of shared memory data bank conflicts generated by LDS, LD, 3D attribute loads, LDSM, STS, ST, ATOMS, ATOM, 3D attribute stores, LDGSTS and Misc.","1"
"l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_atom","Counter","","# of shared memory data bank conflicts generated by ATOMS, ATOM","1"
"l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_ld","Counter","","# of shared memory data bank conflicts generated by LDS, LD, 3D attribute loads, LDSM","1"
"l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_st","Counter","","# of shared memory data bank conflicts generated by STS, ST, 3D attribute stores, LDGSTS","1"
"l1tex__data_bank_reads","Counter","","# of data bank reads","1"
"l1tex__data_bank_writes","Counter","","# of data bank writes","1"
"l1tex__data_pipe_lsu_wavefronts","Counter","","# of local/global/shared + surface write wavefronts processed by Data-Stage","1"
"l1tex__data_pipe_lsu_wavefronts_cmd_read","Counter","","# of local/global/shared read wavefronts processed by Data-Stage","1"
"l1tex__data_pipe_lsu_wavefronts_cmd_write","Counter","","# of local/global/shared/surface write wavefronts processed by Data-Stage","1"
