"Metric name","Metric type","Metric unit","Metric description","NVIDIA GeForce RTX 3060 Laptop GPU"
"lts__t_requests_srcunit_tex_op_membar_lookup_miss","Counter","request","# of LTS requests from unit TEX for memory barriers that missed","1"
"lts__t_requests_srcunit_tex_op_read","Counter","request","# of LTS requests from unit TEX for reads","1"
"lts__t_requests_srcunit_tex_op_read_evict_first","Counter","request","# of LTS requests from unit TEX for reads marked evict-first","1"
"lts__t_requests_srcunit_tex_op_read_evict_first_lookup_hit","Counter","request","# of LTS requests from unit TEX for reads marked evict-first that hit","1"
"lts__t_requests_srcunit_tex_op_read_evict_first_lookup_miss","Counter","request","# of LTS requests from unit TEX for reads marked evict-first that missed","1"
"lts__t_requests_srcunit_tex_op_read_evict_last","Counter","request","# of LTS requests from unit TEX for reads marked evict-last","1"
"lts__t_requests_srcunit_tex_op_read_evict_last_lookup_hit","Counter","request","# of LTS requests from unit TEX for reads marked evict-last that hit","1"
"lts__t_requests_srcunit_tex_op_read_evict_last_lookup_miss","Counter","request","# of LTS requests from unit TEX for reads marked evict-last that missed","1"
"lts__t_requests_srcunit_tex_op_read_evict_normal","Counter","request","# of LTS requests from unit TEX for reads marked evict-normal (LRU)","1"
"lts__t_requests_srcunit_tex_op_read_evict_normal_demote","Counter","request","# of LTS requests from unit TEX for reads marked evict-normal-demote","1"
"lts__t_requests_srcunit_tex_op_read_evict_normal_demote_lookup_hit","Counter","request","# of LTS requests from unit TEX for reads marked evict-normal-demote that hit","1"
"lts__t_requests_srcunit_tex_op_read_evict_normal_demote_lookup_miss","Counter","request","# of LTS requests from unit TEX for reads marked evict-normal-demote that missed","1"
"lts__t_requests_srcunit_tex_op_read_evict_normal_lookup_hit","Counter","request","# of LTS requests from unit TEX for reads marked evict-normal (LRU) that hit","1"
"lts__t_requests_srcunit_tex_op_read_evict_normal_lookup_miss","Counter","request","# of LTS requests from unit TEX for reads marked evict-normal (LRU) that missed","1"
"lts__t_requests_srcunit_tex_op_read_lookup_hit","Counter","request","# of LTS requests from unit TEX for reads that hit","1"
"lts__t_requests_srcunit_tex_op_read_lookup_miss","Counter","request","# of LTS requests from unit TEX for reads that missed","1"
"lts__t_requests_srcunit_tex_op_red","Counter","request","# of LTS requests from unit TEX for reductions","1"
"lts__t_requests_srcunit_tex_op_red_lookup_hit","Counter","request","# of LTS requests from unit TEX for reductions that hit","1"
"lts__t_requests_srcunit_tex_op_red_lookup_miss","Counter","request","# of LTS requests from unit TEX for reductions that missed","1"
"lts__t_requests_srcunit_tex_op_write","Counter","request","# of LTS requests from unit TEX for writes","1"
"lts__t_requests_srcunit_tex_op_write_evict_first","Counter","request","# of LTS requests from unit TEX for writes marked evict-first","1"
"lts__t_requests_srcunit_tex_op_write_evict_first_lookup_hit","Counter","request","# of LTS requests from unit TEX for writes marked evict-first that hit","1"
"lts__t_requests_srcunit_tex_op_write_evict_first_lookup_miss","Counter","request","# of LTS requests from unit TEX for writes marked evict-first that missed","1"
"lts__t_requests_srcunit_tex_op_write_evict_last","Counter","request","# of LTS requests from unit TEX for writes marked evict-last","1"
"lts__t_requests_srcunit_tex_op_write_evict_last_lookup_hit","Counter","request","# of LTS requests from unit TEX for writes marked evict-last that hit","1"
"lts__t_requests_srcunit_tex_op_write_evict_last_lookup_miss","Counter","request","# of LTS requests from unit TEX for writes marked evict-last that missed","1"
"lts__t_requests_srcunit_tex_op_write_evict_normal","Counter","request","# of LTS requests from unit TEX for writes marked evict-normal (LRU)","1"
"lts__t_requests_srcunit_tex_op_write_evict_normal_demote","Counter","request","# of LTS requests from unit TEX for writes marked evict-normal-demote","1"
"lts__t_requests_srcunit_tex_op_write_evict_normal_demote_lookup_hit","Counter","request","# of LTS requests from unit TEX for writes marked evict-normal-demote that hit","1"
"lts__t_requests_srcunit_tex_op_write_evict_normal_demote_lookup_miss","Counter","request","# of LTS requests from unit TEX for writes marked evict-normal-demote that missed","1"
"lts__t_requests_srcunit_tex_op_write_evict_normal_lookup_hit","Counter","request","# of LTS requests from unit TEX for writes marked evict-normal (LRU) that hit","1"
"lts__t_requests_srcunit_tex_op_write_evict_normal_lookup_miss","Counter","request","# of LTS requests from unit TEX for writes marked evict-normal (LRU) that missed","1"
"lts__t_requests_srcunit_tex_op_write_lookup_hit","Counter","request","# of LTS requests from unit TEX for writes that hit","1"
"lts__t_requests_srcunit_tex_op_write_lookup_miss","Counter","request","# of LTS requests from unit TEX for writes that missed","1"
"lts__t_sector_hit_rate","Ratio","","proportion of L2 sector lookups that hit","1"
"lts__t_sector_op_atom_dot_alu_hit_rate","Ratio","","# of sector hits for _op_atom_dot_alu per sector access for _op_atom_dot_alu","1"
"lts__t_sector_op_atom_dot_cas_hit_rate","Ratio","","# of sector hits for _op_atom_dot_cas per sector access for _op_atom_dot_cas","1"
"lts__t_sector_op_atom_hit_rate","Ratio","","# of sector hits for _op_atom per sector access for _op_atom","1"
"lts__t_sector_op_read_hit_rate","Ratio","","# of sector hits for _op_read per sector access for _op_read","1"
"lts__t_sector_op_red_hit_rate","Ratio","","# of sector hits for _op_red per sector access for _op_red","1"
"lts__t_sector_op_write_hit_rate","Ratio","","# of sector hits for _op_write per sector access for _op_write","1"
"lts__t_sectors","Counter","sector","# of LTS sectors","1"
"lts__t_sectors_aperture_device","Counter","sector","# of LTS sectors accessing device memory (vidmem)","1"
"lts__t_sectors_aperture_device_evict_first","Counter","sector","# of LTS sectors accessing device memory (vidmem) marked evict-first","1"
"lts__t_sectors_aperture_device_evict_first_lookup_hit","Counter","sector","# of LTS sectors accessing device memory (vidmem) marked evict-first that hit","1"
"lts__t_sectors_aperture_device_evict_first_lookup_miss","Counter","sector","# of LTS sectors accessing device memory (vidmem) marked evict-first that missed","1"
"lts__t_sectors_aperture_device_evict_last","Counter","sector","# of LTS sectors accessing device memory (vidmem) marked evict-last","1"
"lts__t_sectors_aperture_device_evict_last_lookup_hit","Counter","sector","# of LTS sectors accessing device memory (vidmem) marked evict-last that hit","1"
"lts__t_sectors_aperture_device_evict_last_lookup_miss","Counter","sector","# of LTS sectors accessing device memory (vidmem) marked evict-last that missed","1"
"lts__t_sectors_aperture_device_evict_normal","Counter","sector","# of LTS sectors accessing device memory (vidmem) marked evict-normal (LRU)","1"
"lts__t_sectors_aperture_device_evict_normal_demote","Counter","sector","# of LTS sectors accessing device memory (vidmem) marked evict-normal-demote","1"
"lts__t_sectors_aperture_device_evict_normal_demote_lookup_hit","Counter","sector","# of LTS sectors accessing device memory (vidmem) marked evict-normal-demote that hit","1"
"lts__t_sectors_aperture_device_evict_normal_demote_lookup_miss","Counter","sector","# of LTS sectors accessing device memory (vidmem) marked evict-normal-demote that missed","1"
"lts__t_sectors_aperture_device_evict_normal_lookup_hit","Counter","sector","# of LTS sectors accessing device memory (vidmem) marked evict-normal (LRU) that hit","1"
"lts__t_sectors_aperture_device_evict_normal_lookup_miss","Counter","sector","# of LTS sectors accessing device memory (vidmem) marked evict-normal (LRU) that missed","1"
"lts__t_sectors_aperture_device_lookup_hit","Counter","sector","# of LTS sectors accessing device memory (vidmem) that hit","1"
"lts__t_sectors_aperture_device_lookup_miss","Counter","sector","# of LTS sectors accessing device memory (vidmem) that missed","1"
"lts__t_sectors_aperture_device_op_atom","Counter","sector","# of LTS sectors accessing device memory (vidmem) for all atomics","1"
"lts__t_sectors_aperture_device_op_atom_dot_alu","Counter","sector","# of LTS sectors accessing device memory (vidmem) for atomic ALU (non-CAS)","1"
"lts__t_sectors_aperture_device_op_atom_dot_alu_lookup_hit","Counter","sector","# of LTS sectors accessing device memory (vidmem) for atomic ALU (non-CAS) that hit","1"
"lts__t_sectors_aperture_device_op_atom_dot_alu_lookup_miss","Counter","sector","# of LTS sectors accessing device memory (vidmem) for atomic ALU (non-CAS) that missed","1"
"lts__t_sectors_aperture_device_op_atom_dot_cas","Counter","sector","# of LTS sectors accessing device memory (vidmem) for atomic CAS","1"
"lts__t_sectors_aperture_device_op_atom_dot_cas_lookup_hit","Counter","sector","# of LTS sectors accessing device memory (vidmem) for atomic CAS that hit","1"
"lts__t_sectors_aperture_device_op_atom_dot_cas_lookup_miss","Counter","sector","# of LTS sectors accessing device memory (vidmem) for atomic CAS that missed","1"
"lts__t_sectors_aperture_device_op_atom_evict_first","Counter","sector","# of LTS sectors accessing device memory (vidmem) for all atomics marked evict-first","1"
"lts__t_sectors_aperture_device_op_atom_evict_first_lookup_hit","Counter","sector","# of LTS sectors accessing device memory (vidmem) for all atomics marked evict-first that hit","1"
"lts__t_sectors_aperture_device_op_atom_evict_first_lookup_miss","Counter","sector","# of LTS sectors accessing device memory (vidmem) for all atomics marked evict-first that missed","1"
"lts__t_sectors_aperture_device_op_atom_evict_last","Counter","sector","# of LTS sectors accessing device memory (vidmem) for all atomics marked evict-last","1"
"lts__t_sectors_aperture_device_op_atom_evict_last_lookup_hit","Counter","sector","# of LTS sectors accessing device memory (vidmem) for all atomics marked evict-last that hit","1"
"lts__t_sectors_aperture_device_op_atom_evict_last_lookup_miss","Counter","sector","# of LTS sectors accessing device memory (vidmem) for all atomics marked evict-last that missed","1"
"lts__t_sectors_aperture_device_op_atom_evict_normal","Counter","sector","# of LTS sectors accessing device memory (vidmem) for all atomics marked evict-normal (LRU)","1"
"lts__t_sectors_aperture_device_op_atom_evict_normal_demote","Counter","sector","# of LTS sectors accessing device memory (vidmem) for all atomics marked evict-normal-demote","1"
"lts__t_sectors_aperture_device_op_atom_evict_normal_demote_lookup_hit","Counter","sector","# of LTS sectors accessing device memory (vidmem) for all atomics marked evict-normal-demote that hit","1"
"lts__t_sectors_aperture_device_op_atom_evict_normal_demote_lookup_miss","Counter","sector","# of LTS sectors accessing device memory (vidmem) for all atomics marked evict-normal-demote that missed","1"
"lts__t_sectors_aperture_device_op_atom_evict_normal_lookup_hit","Counter","sector","# of LTS sectors accessing device memory (vidmem) for all atomics marked evict-normal (LRU) that hit","1"
"lts__t_sectors_aperture_device_op_atom_evict_normal_lookup_miss","Counter","sector","# of LTS sectors accessing device memory (vidmem) for all atomics marked evict-normal (LRU) that missed","1"
"lts__t_sectors_aperture_device_op_atom_lookup_hit","Counter","sector","# of LTS sectors accessing device memory (vidmem) for all atomics that hit","1"
"lts__t_sectors_aperture_device_op_atom_lookup_miss","Counter","sector","# of LTS sectors accessing device memory (vidmem) for all atomics that missed","1"
"lts__t_sectors_aperture_device_op_membar","Counter","sector","# of LTS sectors accessing device memory (vidmem) for memory barriers","1"
"lts__t_sectors_aperture_device_op_membar_evict_first","Counter","sector","# of LTS sectors accessing device memory (vidmem) for memory barriers marked evict-first","1"
"lts__t_sectors_aperture_device_op_membar_evict_first_lookup_hit","Counter","sector","# of LTS sectors accessing device memory (vidmem) for memory barriers marked evict-first that hit","1"
"lts__t_sectors_aperture_device_op_membar_evict_first_lookup_miss","Counter","sector","# of LTS sectors accessing device memory (vidmem) for memory barriers marked evict-first that missed","1"
"lts__t_sectors_aperture_device_op_membar_evict_last","Counter","sector","# of LTS sectors accessing device memory (vidmem) for memory barriers marked evict-last","1"
"lts__t_sectors_aperture_device_op_membar_evict_last_lookup_hit","Counter","sector","# of LTS sectors accessing device memory (vidmem) for memory barriers marked evict-last that hit","1"
"lts__t_sectors_aperture_device_op_membar_evict_last_lookup_miss","Counter","sector","# of LTS sectors accessing device memory (vidmem) for memory barriers marked evict-last that missed","1"
"lts__t_sectors_aperture_device_op_membar_evict_normal","Counter","sector","# of LTS sectors accessing device memory (vidmem) for memory barriers marked evict-normal (LRU)","1"
"lts__t_sectors_aperture_device_op_membar_evict_normal_demote","Counter","sector","# of LTS sectors accessing device memory (vidmem) for memory barriers marked evict-normal-demote","1"
"lts__t_sectors_aperture_device_op_membar_evict_normal_demote_lookup_hit","Counter","sector","# of LTS sectors accessing device memory (vidmem) for memory barriers marked evict-normal-demote that hit","1"
"lts__t_sectors_aperture_device_op_membar_evict_normal_demote_lookup_miss","Counter","sector","# of LTS sectors accessing device memory (vidmem) for memory barriers marked evict-normal-demote that missed","1"
"lts__t_sectors_aperture_device_op_membar_evict_normal_lookup_hit","Counter","sector","# of LTS sectors accessing device memory (vidmem) for memory barriers marked evict-normal (LRU) that hit","1"
"lts__t_sectors_aperture_device_op_membar_evict_normal_lookup_miss","Counter","sector","# of LTS sectors accessing device memory (vidmem) for memory barriers marked evict-normal (LRU) that missed","1"
"lts__t_sectors_aperture_device_op_membar_lookup_hit","Counter","sector","# of LTS sectors accessing device memory (vidmem) for memory barriers that hit","1"
"lts__t_sectors_aperture_device_op_membar_lookup_miss","Counter","sector","# of LTS sectors accessing device memory (vidmem) for memory barriers that missed","1"
"lts__t_sectors_aperture_device_op_read","Counter","sector","# of LTS sectors accessing device memory (vidmem) for reads","1"
"lts__t_sectors_aperture_device_op_read_evict_first","Counter","sector","# of LTS sectors accessing device memory (vidmem) for reads marked evict-first","1"
"lts__t_sectors_aperture_device_op_read_evict_first_lookup_hit","Counter","sector","# of LTS sectors accessing device memory (vidmem) for reads marked evict-first that hit","1"
"lts__t_sectors_aperture_device_op_read_evict_first_lookup_miss","Counter","sector","# of LTS sectors accessing device memory (vidmem) for reads marked evict-first that missed","1"
"lts__t_sectors_aperture_device_op_read_evict_last","Counter","sector","# of LTS sectors accessing device memory (vidmem) for reads marked evict-last","1"
"lts__t_sectors_aperture_device_op_read_evict_last_lookup_hit","Counter","sector","# of LTS sectors accessing device memory (vidmem) for reads marked evict-last that hit","1"
"lts__t_sectors_aperture_device_op_read_evict_last_lookup_miss","Counter","sector","# of LTS sectors accessing device memory (vidmem) for reads marked evict-last that missed","1"
"lts__t_sectors_aperture_device_op_read_evict_normal","Counter","sector","# of LTS sectors accessing device memory (vidmem) for reads marked evict-normal (LRU)","1"
"lts__t_sectors_aperture_device_op_read_evict_normal_demote","Counter","sector","# of LTS sectors accessing device memory (vidmem) for reads marked evict-normal-demote","1"
"lts__t_sectors_aperture_device_op_read_evict_normal_demote_lookup_hit","Counter","sector","# of LTS sectors accessing device memory (vidmem) for reads marked evict-normal-demote that hit","1"
"lts__t_sectors_aperture_device_op_read_evict_normal_demote_lookup_miss","Counter","sector","# of LTS sectors accessing device memory (vidmem) for reads marked evict-normal-demote that missed","1"
"lts__t_sectors_aperture_device_op_read_evict_normal_lookup_hit","Counter","sector","# of LTS sectors accessing device memory (vidmem) for reads marked evict-normal (LRU) that hit","1"
"lts__t_sectors_aperture_device_op_read_evict_normal_lookup_miss","Counter","sector","# of LTS sectors accessing device memory (vidmem) for reads marked evict-normal (LRU) that missed","1"
"lts__t_sectors_aperture_device_op_read_lookup_hit","Counter","sector","# of LTS sectors accessing device memory (vidmem) for reads that hit","1"
"lts__t_sectors_aperture_device_op_read_lookup_miss","Counter","sector","# of LTS sectors accessing device memory (vidmem) for reads that missed","1"
"lts__t_sectors_aperture_device_op_red","Counter","sector","# of LTS sectors accessing device memory (vidmem) for reductions","1"
"lts__t_sectors_aperture_device_op_red_lookup_hit","Counter","sector","# of LTS sectors accessing device memory (vidmem) for reductions that hit","1"
"lts__t_sectors_aperture_device_op_red_lookup_miss","Counter","sector","# of LTS sectors accessing device memory (vidmem) for reductions that missed","1"
"lts__t_sectors_aperture_device_op_write","Counter","sector","# of LTS sectors accessing device memory (vidmem) for writes","1"
"lts__t_sectors_aperture_device_op_write_evict_first","Counter","sector","# of LTS sectors accessing device memory (vidmem) for writes marked evict-first","1"
"lts__t_sectors_aperture_device_op_write_evict_first_lookup_hit","Counter","sector","# of LTS sectors accessing device memory (vidmem) for writes marked evict-first that hit","1"
"lts__t_sectors_aperture_device_op_write_evict_first_lookup_miss","Counter","sector","# of LTS sectors accessing device memory (vidmem) for writes marked evict-first that missed","1"
"lts__t_sectors_aperture_device_op_write_evict_last","Counter","sector","# of LTS sectors accessing device memory (vidmem) for writes marked evict-last","1"
"lts__t_sectors_aperture_device_op_write_evict_last_lookup_hit","Counter","sector","# of LTS sectors accessing device memory (vidmem) for writes marked evict-last that hit","1"
"lts__t_sectors_aperture_device_op_write_evict_last_lookup_miss","Counter","sector","# of LTS sectors accessing device memory (vidmem) for writes marked evict-last that missed","1"
"lts__t_sectors_aperture_device_op_write_evict_normal","Counter","sector","# of LTS sectors accessing device memory (vidmem) for writes marked evict-normal (LRU)","1"
"lts__t_sectors_aperture_device_op_write_evict_normal_demote","Counter","sector","# of LTS sectors accessing device memory (vidmem) for writes marked evict-normal-demote","1"
"lts__t_sectors_aperture_device_op_write_evict_normal_demote_lookup_hit","Counter","sector","# of LTS sectors accessing device memory (vidmem) for writes marked evict-normal-demote that hit","1"
"lts__t_sectors_aperture_device_op_write_evict_normal_demote_lookup_miss","Counter","sector","# of LTS sectors accessing device memory (vidmem) for writes marked evict-normal-demote that missed","1"
"lts__t_sectors_aperture_device_op_write_evict_normal_lookup_hit","Counter","sector","# of LTS sectors accessing device memory (vidmem) for writes marked evict-normal (LRU) that hit","1"
"lts__t_sectors_aperture_device_op_write_evict_normal_lookup_miss","Counter","sector","# of LTS sectors accessing device memory (vidmem) for writes marked evict-normal (LRU) that missed","1"
"lts__t_sectors_aperture_device_op_write_lookup_hit","Counter","sector","# of LTS sectors accessing device memory (vidmem) for writes that hit","1"
"lts__t_sectors_aperture_device_op_write_lookup_miss","Counter","sector","# of LTS sectors accessing device memory (vidmem) for writes that missed","1"
"lts__t_sectors_aperture_peer","Counter","sector","# of LTS sectors accessing peer memory (peermem)","1"
"lts__t_sectors_aperture_peer_evict_first","Counter","sector","# of LTS sectors accessing peer memory (peermem) marked evict-first","1"
"lts__t_sectors_aperture_peer_evict_first_lookup_hit","Counter","sector","# of LTS sectors accessing peer memory (peermem) marked evict-first that hit","1"
"lts__t_sectors_aperture_peer_evict_first_lookup_miss","Counter","sector","# of LTS sectors accessing peer memory (peermem) marked evict-first that missed","1"
"lts__t_sectors_aperture_peer_evict_last","Counter","sector","# of LTS sectors accessing peer memory (peermem) marked evict-last","1"
"lts__t_sectors_aperture_peer_evict_last_lookup_hit","Counter","sector","# of LTS sectors accessing peer memory (peermem) marked evict-last that hit","1"
"lts__t_sectors_aperture_peer_evict_last_lookup_miss","Counter","sector","# of LTS sectors accessing peer memory (peermem) marked evict-last that missed","1"
"lts__t_sectors_aperture_peer_evict_normal","Counter","sector","# of LTS sectors accessing peer memory (peermem) marked evict-normal (LRU)","1"
"lts__t_sectors_aperture_peer_evict_normal_demote","Counter","sector","# of LTS sectors accessing peer memory (peermem) marked evict-normal-demote","1"
"lts__t_sectors_aperture_peer_evict_normal_demote_lookup_hit","Counter","sector","# of LTS sectors accessing peer memory (peermem) marked evict-normal-demote that hit","1"
"lts__t_sectors_aperture_peer_evict_normal_demote_lookup_miss","Counter","sector","# of LTS sectors accessing peer memory (peermem) marked evict-normal-demote that missed","1"
"lts__t_sectors_aperture_peer_evict_normal_lookup_hit","Counter","sector","# of LTS sectors accessing peer memory (peermem) marked evict-normal (LRU) that hit","1"
"lts__t_sectors_aperture_peer_evict_normal_lookup_miss","Counter","sector","# of LTS sectors accessing peer memory (peermem) marked evict-normal (LRU) that missed","1"
"lts__t_sectors_aperture_peer_lookup_hit","Counter","sector","# of LTS sectors accessing peer memory (peermem) that hit","1"
"lts__t_sectors_aperture_peer_lookup_miss","Counter","sector","# of LTS sectors accessing peer memory (peermem) that missed","1"
"lts__t_sectors_aperture_peer_op_atom","Counter","sector","# of LTS sectors accessing peer memory (peermem) for all atomics","1"
"lts__t_sectors_aperture_peer_op_atom_dot_alu","Counter","sector","# of LTS sectors accessing peer memory (peermem) for atomic ALU (non-CAS)","1"
"lts__t_sectors_aperture_peer_op_atom_dot_alu_lookup_hit","Counter","sector","# of LTS sectors accessing peer memory (peermem) for atomic ALU (non-CAS) that hit","1"
"lts__t_sectors_aperture_peer_op_atom_dot_alu_lookup_miss","Counter","sector","# of LTS sectors accessing peer memory (peermem) for atomic ALU (non-CAS) that missed","1"
"lts__t_sectors_aperture_peer_op_atom_dot_cas","Counter","sector","# of LTS sectors accessing peer memory (peermem) for atomic CAS","1"
"lts__t_sectors_aperture_peer_op_atom_dot_cas_lookup_hit","Counter","sector","# of LTS sectors accessing peer memory (peermem) for atomic CAS that hit","1"
"lts__t_sectors_aperture_peer_op_atom_dot_cas_lookup_miss","Counter","sector","# of LTS sectors accessing peer memory (peermem) for atomic CAS that missed","1"
"lts__t_sectors_aperture_peer_op_atom_evict_first","Counter","sector","# of LTS sectors accessing peer memory (peermem) for all atomics marked evict-first","1"
"lts__t_sectors_aperture_peer_op_atom_evict_first_lookup_hit","Counter","sector","# of LTS sectors accessing peer memory (peermem) for all atomics marked evict-first that hit","1"
"lts__t_sectors_aperture_peer_op_atom_evict_first_lookup_miss","Counter","sector","# of LTS sectors accessing peer memory (peermem) for all atomics marked evict-first that missed","1"
"lts__t_sectors_aperture_peer_op_atom_evict_last","Counter","sector","# of LTS sectors accessing peer memory (peermem) for all atomics marked evict-last","1"
"lts__t_sectors_aperture_peer_op_atom_evict_last_lookup_hit","Counter","sector","# of LTS sectors accessing peer memory (peermem) for all atomics marked evict-last that hit","1"
"lts__t_sectors_aperture_peer_op_atom_evict_last_lookup_miss","Counter","sector","# of LTS sectors accessing peer memory (peermem) for all atomics marked evict-last that missed","1"
"lts__t_sectors_aperture_peer_op_atom_evict_normal","Counter","sector","# of LTS sectors accessing peer memory (peermem) for all atomics marked evict-normal (LRU)","1"
"lts__t_sectors_aperture_peer_op_atom_evict_normal_demote","Counter","sector","# of LTS sectors accessing peer memory (peermem) for all atomics marked evict-normal-demote","1"
"lts__t_sectors_aperture_peer_op_atom_evict_normal_demote_lookup_hit","Counter","sector","# of LTS sectors accessing peer memory (peermem) for all atomics marked evict-normal-demote that hit","1"
"lts__t_sectors_aperture_peer_op_atom_evict_normal_demote_lookup_miss","Counter","sector","# of LTS sectors accessing peer memory (peermem) for all atomics marked evict-normal-demote that missed","1"
"lts__t_sectors_aperture_peer_op_atom_evict_normal_lookup_hit","Counter","sector","# of LTS sectors accessing peer memory (peermem) for all atomics marked evict-normal (LRU) that hit","1"
"lts__t_sectors_aperture_peer_op_atom_evict_normal_lookup_miss","Counter","sector","# of LTS sectors accessing peer memory (peermem) for all atomics marked evict-normal (LRU) that missed","1"
"lts__t_sectors_aperture_peer_op_atom_lookup_hit","Counter","sector","# of LTS sectors accessing peer memory (peermem) for all atomics that hit","1"
"lts__t_sectors_aperture_peer_op_atom_lookup_miss","Counter","sector","# of LTS sectors accessing peer memory (peermem) for all atomics that missed","1"
"lts__t_sectors_aperture_peer_op_membar","Counter","sector","# of LTS sectors accessing peer memory (peermem) for memory barriers","1"
"lts__t_sectors_aperture_peer_op_membar_evict_first","Counter","sector","# of LTS sectors accessing peer memory (peermem) for memory barriers marked evict-first","1"
"lts__t_sectors_aperture_peer_op_membar_evict_first_lookup_hit","Counter","sector","# of LTS sectors accessing peer memory (peermem) for memory barriers marked evict-first that hit","1"
"lts__t_sectors_aperture_peer_op_membar_evict_first_lookup_miss","Counter","sector","# of LTS sectors accessing peer memory (peermem) for memory barriers marked evict-first that missed","1"
"lts__t_sectors_aperture_peer_op_membar_evict_last","Counter","sector","# of LTS sectors accessing peer memory (peermem) for memory barriers marked evict-last","1"
"lts__t_sectors_aperture_peer_op_membar_evict_last_lookup_hit","Counter","sector","# of LTS sectors accessing peer memory (peermem) for memory barriers marked evict-last that hit","1"
"lts__t_sectors_aperture_peer_op_membar_evict_last_lookup_miss","Counter","sector","# of LTS sectors accessing peer memory (peermem) for memory barriers marked evict-last that missed","1"
"lts__t_sectors_aperture_peer_op_membar_evict_normal","Counter","sector","# of LTS sectors accessing peer memory (peermem) for memory barriers marked evict-normal (LRU)","1"
"lts__t_sectors_aperture_peer_op_membar_evict_normal_demote","Counter","sector","# of LTS sectors accessing peer memory (peermem) for memory barriers marked evict-normal-demote","1"
"lts__t_sectors_aperture_peer_op_membar_evict_normal_demote_lookup_hit","Counter","sector","# of LTS sectors accessing peer memory (peermem) for memory barriers marked evict-normal-demote that hit","1"
"lts__t_sectors_aperture_peer_op_membar_evict_normal_demote_lookup_miss","Counter","sector","# of LTS sectors accessing peer memory (peermem) for memory barriers marked evict-normal-demote that missed","1"
"lts__t_sectors_aperture_peer_op_membar_evict_normal_lookup_hit","Counter","sector","# of LTS sectors accessing peer memory (peermem) for memory barriers marked evict-normal (LRU) that hit","1"
"lts__t_sectors_aperture_peer_op_membar_evict_normal_lookup_miss","Counter","sector","# of LTS sectors accessing peer memory (peermem) for memory barriers marked evict-normal (LRU) that missed","1"
"lts__t_sectors_aperture_peer_op_membar_lookup_hit","Counter","sector","# of LTS sectors accessing peer memory (peermem) for memory barriers that hit","1"
"lts__t_sectors_aperture_peer_op_membar_lookup_miss","Counter","sector","# of LTS sectors accessing peer memory (peermem) for memory barriers that missed","1"
"lts__t_sectors_aperture_peer_op_read","Counter","sector","# of LTS sectors accessing peer memory (peermem) for reads","1"
"lts__t_sectors_aperture_peer_op_read_evict_first","Counter","sector","# of LTS sectors accessing peer memory (peermem) for reads marked evict-first","1"
"lts__t_sectors_aperture_peer_op_read_evict_first_lookup_hit","Counter","sector","# of LTS sectors accessing peer memory (peermem) for reads marked evict-first that hit","1"
"lts__t_sectors_aperture_peer_op_read_evict_first_lookup_miss","Counter","sector","# of LTS sectors accessing peer memory (peermem) for reads marked evict-first that missed","1"
"lts__t_sectors_aperture_peer_op_read_evict_last","Counter","sector","# of LTS sectors accessing peer memory (peermem) for reads marked evict-last","1"
"lts__t_sectors_aperture_peer_op_read_evict_last_lookup_hit","Counter","sector","# of LTS sectors accessing peer memory (peermem) for reads marked evict-last that hit","1"
"lts__t_sectors_aperture_peer_op_read_evict_last_lookup_miss","Counter","sector","# of LTS sectors accessing peer memory (peermem) for reads marked evict-last that missed","1"
"lts__t_sectors_aperture_peer_op_read_evict_normal","Counter","sector","# of LTS sectors accessing peer memory (peermem) for reads marked evict-normal (LRU)","1"
"lts__t_sectors_aperture_peer_op_read_evict_normal_demote","Counter","sector","# of LTS sectors accessing peer memory (peermem) for reads marked evict-normal-demote","1"
"lts__t_sectors_aperture_peer_op_read_evict_normal_demote_lookup_hit","Counter","sector","# of LTS sectors accessing peer memory (peermem) for reads marked evict-normal-demote that hit","1"
"lts__t_sectors_aperture_peer_op_read_evict_normal_demote_lookup_miss","Counter","sector","# of LTS sectors accessing peer memory (peermem) for reads marked evict-normal-demote that missed","1"
"lts__t_sectors_aperture_peer_op_read_evict_normal_lookup_hit","Counter","sector","# of LTS sectors accessing peer memory (peermem) for reads marked evict-normal (LRU) that hit","1"
"lts__t_sectors_aperture_peer_op_read_evict_normal_lookup_miss","Counter","sector","# of LTS sectors accessing peer memory (peermem) for reads marked evict-normal (LRU) that missed","1"
"lts__t_sectors_aperture_peer_op_read_lookup_hit","Counter","sector","# of LTS sectors accessing peer memory (peermem) for reads that hit","1"
"lts__t_sectors_aperture_peer_op_read_lookup_miss","Counter","sector","# of LTS sectors accessing peer memory (peermem) for reads that missed","1"
"lts__t_sectors_aperture_peer_op_red","Counter","sector","# of LTS sectors accessing peer memory (peermem) for reductions","1"
"lts__t_sectors_aperture_peer_op_red_lookup_hit","Counter","sector","# of LTS sectors accessing peer memory (peermem) for reductions that hit","1"
"lts__t_sectors_aperture_peer_op_red_lookup_miss","Counter","sector","# of LTS sectors accessing peer memory (peermem) for reductions that missed","1"
"lts__t_sectors_aperture_peer_op_write","Counter","sector","# of LTS sectors accessing peer memory (peermem) for writes","1"
"lts__t_sectors_aperture_peer_op_write_evict_first","Counter","sector","# of LTS sectors accessing peer memory (peermem) for writes marked evict-first","1"
"lts__t_sectors_aperture_peer_op_write_evict_first_lookup_hit","Counter","sector","# of LTS sectors accessing peer memory (peermem) for writes marked evict-first that hit","1"
